Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Regular price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
simple,oup_3561,New Oxford Primary Science Book 2,1,0,visible,New Oxford Primary Science Book 2,New Oxford Primary Science Book 2. Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,950.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/9/7/9780190700065_1.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
simple,oup_3562,New Oxford Primary Science Book 3,1,0,visible,New Oxford Primary Science Book 3,New Oxford Primary Science Book 3. Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,950.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/9/7/9780190700072_1.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
simple,oup_3840,Complete Mathematics for Cambridge IGCSE Student Book (Core),1,0,visible,Complete Mathematics for Cambridge IGCSE Student Book (Core),Complete Mathematics for Cambridge IGCSE Student Book (Core). Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,4863.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/9/7/9780198425045.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
simple,oup_3836,Complete Mathematics for Cambridge IGCSE Student Book (Extended),1,0,visible,Complete Mathematics for Cambridge IGCSE Student Book (Extended),Complete Mathematics for Cambridge IGCSE Student Book (Extended). Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,3802.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/9/7/9780198425076.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
simple,oup_3850,Complete Mechanics for Cambridge International AS & A Level,1,0,visible,Complete Mechanics for Cambridge International AS & A Level,Complete Mechanics for Cambridge International AS & A Level. Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,1797.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/9/7/9780198425199.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
simple,oup_3846,Complete Pure Mathematics 1 for Cambridge International AS & A Level,1,0,visible,Complete Pure Mathematics 1 for Cambridge International AS & A Level,Complete Pure Mathematics 1 for Cambridge International AS & A Level. Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,2533.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/9/7/9780198425106.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
simple,oup_3847,Complete Pure Mathematics,1,0,visible,Complete Pure Mathematics,Complete Pure Mathematics. Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,3848.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/9/7/9780198425137.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
simple,oup_4165,Think! Additional Mathematics,1,0,visible,Think! Additional Mathematics,Think! Additional Mathematics. Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,3420.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/9/7/9780190704032_1.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
simple,oup_5441,think! New Syllabus Mathematics 1 (8th edition),1,0,visible,think! New Syllabus Mathematics 1 (8th edition),think! New Syllabus Mathematics 1 (8th edition). Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,2630.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/t/h/think_new_syllabus_mathematics_8th_edition_210_x_275__part1.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
simple,oup_5442,think! New Syllabus Mathematics 2 (8th edition),1,0,visible,think! New Syllabus Mathematics 2 (8th edition),think! New Syllabus Mathematics 2 (8th edition). Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,2730.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/t/h/think_new_syllabus_mathematics_8th_edition_210_x_275__part2.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
simple,oup_5706,think! New Syllabus Mathematics 3 (8th edition),1,0,visible,think! New Syllabus Mathematics 3 (8th edition),think! New Syllabus Mathematics 3 (8th edition). Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,2950.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/t/h/think_new_syllabus_mathematics_8th_edition_210_x_275__part3_2.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
simple,oup_5444,think! New Syllabus Mathematics 4 (8th edition),1,0,visible,think! New Syllabus Mathematics 4 (8th edition),think! New Syllabus Mathematics 4 (8th edition). Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,2920.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/t/h/think_new_syllabus_mathematics_8th_edition_210_x_275__part4.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
simple,oup_5168,New Syllabus Mathematics Book 1 Updated 7th Edition,1,0,visible,New Syllabus Mathematics Book 1 Updated 7th Edition,New Syllabus Mathematics Book 1 Updated 7th Edition. Buy online at best price with fast delivery across Pakistan from Study Pack Store.,taxable,1,50,2250.0,School Books > Oxford University Press,https://oup.com.pk/media/catalog/product/cache/c6e400e6ecb01bb21e097fe66c577e5d/9/7/9789697343652.jpg,Publisher,Oxford University Press,1,1,,,,,,,,
